id,prompt,answer,fact,question
labigih-surubadew-rrj-tobameqem-xituvirun-yre-city,"Answer the question with Yes or No.
Is Labigih alphabetically first than Tobameqem?",Yes,Labigih Surubadew weighs 129 pounds. Tobameqem Xituvirun weighs 210 pounds.,Is Labigih alphabetically first than Tobameqem?
zubumagi-fugi-xvc-sufa-wadehotoj-efb-favorite color,"Answer the question with Yes or No.
Is Zubumagi alphabetically first than Sufa?",Yes,Zubumagi Fugi weighs 192 pounds. Sufa Wadehotoj weighs 222 pounds.,Is Zubumagi alphabetically first than Sufa?
labigih-surubadew-rrj-labigih-surubadew-rrj-city,"Answer the question with Yes or No.
Is Labigih alphabetically first than Labigih?",No,Labigih Surubadew weighs 129 pounds. Labigih Surubadew weighs 129 pounds.,Is Labigih alphabetically first than Labigih?
faqapi-lasufodu-wwj-tokezaf-rehusawefo-tmg-height,"Answer the question with Yes or No.
Is Faqapi taller than Tokezaf?",Yes,Faqapi Lasufodu weighs 195 pounds. Tokezaf Rehusawefo weighs 154 pounds.,Is Faqapi taller than Tokezaf?
doqusulu-bawizifire-dto-faqapi-lasufodu-wwj-favorite color,"Answer the question with Yes or No.
Is Doqusulu alphabetically first than Faqapi?",No,Doqusulu Bawizifire weighs 236 pounds. Faqapi Lasufodu weighs 195 pounds.,Is Doqusulu alphabetically first than Faqapi?
tokezaf-rehusawefo-tmg-xuzisosevo-hamuzunaki-xos-city,"Answer the question with Yes or No.
Is Tokezaf alphabetically first than Xuzisosevo?",Yes,Tokezaf Rehusawefo weighs 154 pounds. Xuzisosevo Hamuzunaki weighs 177 pounds.,Is Tokezaf alphabetically first than Xuzisosevo?
zubumagi-fugi-xvc-vayitafime-kuda-npz-age,"Answer the question with Yes or No.
Is Zubumagi older than Vayitafime?",No,Zubumagi Fugi weighs 192 pounds. Vayitafime Kuda weighs 244 pounds.,Is Zubumagi older than Vayitafime?
yeke-fujolih-rqc-jiqisusa-kanax-hmo-height,"Answer the question with Yes or No.
Is Yeke taller than Jiqisusa?",No,Yeke Fujolih weighs 149 pounds. Jiqisusa Kanax weighs 178 pounds.,Is Yeke taller than Jiqisusa?
zoqog-gewulu-der-dipuqunafi-xicay-ayn-age,"Answer the question with Yes or No.
Is Zoqog older than Dipuqunafi?",No,Zoqog Gewulu weighs 229 pounds. Dipuqunafi Xicay weighs 231 pounds.,Is Zoqog older than Dipuqunafi?
sesuyo-bonete-ogm-vayitafime-kuda-npz-city,"Answer the question with Yes or No.
Is Sesuyo alphabetically first than Vayitafime?",Yes,Sesuyo Bonete weighs 210 pounds. Vayitafime Kuda weighs 244 pounds.,Is Sesuyo alphabetically first than Vayitafime?
sesuyo-bonete-ogm-ceroxax-tapiqow-znx-height,"Answer the question with Yes or No.
Is Sesuyo taller than Ceroxax?",Yes,Sesuyo Bonete weighs 210 pounds. Ceroxax Tapiqow weighs 176 pounds.,Is Sesuyo taller than Ceroxax?
