id,prompt,answer,fact,question
falekefud-rabajevu-iey,"Answer the question with Yes or No.
Is Falekefud over 150 pounds?",No,Falekefud Rabajevu weighs 126 pounds.,Is Falekefud over 150 pounds?
falekefud-rabajevu-iey,"Answer the question with Yes or No.
Is Falekefud over 170 cm tall?",Yes,Falekefud Rabajevu is 185 cm tall.,Is Falekefud over 170 cm tall?
falekefud-rabajevu-iey,"Answer the question with Yes or No.
Is Falekefud older than 40?",No,Falekefud Rabajevu is 32 years old.,Is Falekefud older than 40?
falekefud-rabajevu-iey,"Answer the question with Yes or No.
Does Falekefud work in the medical field?",No,Falekefud Rabajevu works as a farmer.,Does Falekefud work in the medical field?
falekefud-rabajevu-iey,"Answer the question with Yes or No.
Is Falekefud's favorite color red, blue, or yellow?",No,Falekefud Rabajevu's favorite color is gold.,"Is Falekefud's favorite color red, blue, or yellow?"
falekefud-rabajevu-iey,"Answer the question with Yes or No.
Does Falekefud's city of residence start with a vowel?",No,Falekefud Rabajevu lives in Wokoxiber.,Does Falekefud's city of residence start with a vowel?
faqapi-lasufodu-wwj,"Answer the question with Yes or No.
Is Faqapi over 150 pounds?",Yes,Faqapi Lasufodu weighs 195 pounds.,Is Faqapi over 150 pounds?
faqapi-lasufodu-wwj,"Answer the question with Yes or No.
Is Faqapi over 170 cm tall?",Yes,Faqapi Lasufodu is 190 cm tall.,Is Faqapi over 170 cm tall?
faqapi-lasufodu-wwj,"Answer the question with Yes or No.
Is Faqapi older than 40?",Yes,Faqapi Lasufodu is 59 years old.,Is Faqapi older than 40?
faqapi-lasufodu-wwj,"Answer the question with Yes or No.
Does Faqapi work in the medical field?",No,Faqapi Lasufodu works as a musician.,Does Faqapi work in the medical field?
faqapi-lasufodu-wwj,"Answer the question with Yes or No.
Is Faqapi's favorite color red, blue, or yellow?",No,Faqapi Lasufodu's favorite color is indigo.,"Is Faqapi's favorite color red, blue, or yellow?"
faqapi-lasufodu-wwj,"Answer the question with Yes or No.
Does Faqapi's city of residence start with a vowel?",No,Faqapi Lasufodu lives in Dakid.,Does Faqapi's city of residence start with a vowel?
zihipel-zayewehoq-xos,"Answer the question with Yes or No.
Is Zihipel over 150 pounds?",Yes,Zihipel Zayewehoq weighs 189 pounds.,Is Zihipel over 150 pounds?
zihipel-zayewehoq-xos,"Answer the question with Yes or No.
Is Zihipel over 170 cm tall?",Yes,Zihipel Zayewehoq is 190 cm tall.,Is Zihipel over 170 cm tall?
zihipel-zayewehoq-xos,"Answer the question with Yes or No.
Is Zihipel older than 40?",Yes,Zihipel Zayewehoq is 64 years old.,Is Zihipel older than 40?
zihipel-zayewehoq-xos,"Answer the question with Yes or No.
Does Zihipel work in the medical field?",No,Zihipel Zayewehoq works as a pilot.,Does Zihipel work in the medical field?
